mall_name,mall_address,mall_contact_no,image_link,mall_link,fb_link,geocode,latitude,longitude,formatted_address,province
Robinsons Place Bacolod,"Lacson Street,Mandalagan, Bacolod City",441-1842,http://www.robinsonsmalls.com/image.jsp?id=1217,http://www.robinsonsmalls.com/mall-info/robinsons-place-bacolod,www.facebook.com/RobPlaceBacolod,"{'address_components': [{'long_name': 'Lacson Street', 'short_name': 'Lacson St', 'types': ['route']}, {'long_name': 'Bacolod', 'short_name': 'Bacolod', 'types': ['locality', 'political']}, {'long_name': 'Negros Occidental', 'short_name': 'Negros Occidental', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Western Visayas', 'short_name': 'Western Visayas', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}, {'long_name': '6100', 'short_name': '6100', 'types': ['postal_code']}], 'formatted_address': 'Lacson St, Bacolod, 6100 Negros Occidental, Philippines', 'geometry': {'location': {'lat': 10.6912666, 'lng': 122.9583799}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 10.6926155802915, 'lng': 122.9597288802915}, 'southwest': {'lat': 10.6899176197085, 'lng': 122.9570309197085}}}, 'place_id': 'ChIJXWNHthHRrjMRwgqwC6ysWS8', 'plus_code': {'compound_code': 'MXR5+G9 Bacolod, Negros Occidental, Philippines', 'global_code': '7Q24MXR5+G9'}, 'types': ['establishment', 'point_of_interest', 'shopping_mall']}",10.6912666,122.9583799,"Lacson St, Bacolod, 6100 Negros Occidental, Philippines",Negros Occidental
Robinsons Place Dumaguete," Dumaguete Business Park, Calindagan, Dumaguete City",421-1693,,http://www.robinsonsmalls.com/mall-info/robinsons-place-dumaguete,www.facebook.com/RobPlaceDumaguete,"{'address_components': [{'long_name': 'Calindagan Road', 'short_name': 'Calindagan Rd', 'types': ['route']}, {'long_name': 'Dumaguete', 'short_name': 'Dumaguete', 'types': ['locality', 'political']}, {'long_name': 'Negros Oriental', 'short_name': 'Negros Oriental', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Central Visayas', 'short_name': 'Central Visayas', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'Calindagan Rd, Dumaguete, Negros Oriental, Philippines', 'geometry': {'location': {'lat': 9.2977888, 'lng': 123.3044277}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 9.2991377802915, 'lng': 123.3057766802915}, 'southwest': {'lat': 9.296439819708498, 'lng': 123.3030787197085}}}, 'place_id': 'ChIJGcgVKdhuqzMRvxn0u_RFbyk', 'plus_code': {'compound_code': '78X3+4Q Dumaguete, Negros Oriental, Philippines', 'global_code': '6QX578X3+4Q'}, 'types': ['establishment', 'point_of_interest']}",9.2977888,123.3044277,"Calindagan Rd, Dumaguete, Negros Oriental, Philippines",Negros Oriental
Robinsons Place Iloilo,"Corner De Leon & Quezon Sts., Iloilo City",336-3852,,http://www.robinsonsmalls.com/mall-info/robinsons-place-iloilo,www.facebook.com/RobPlaceIloilo,"{'address_components': [{'long_name': 'Quezon Street', 'short_name': 'Quezon St', 'types': ['route']}, {'long_name': 'Iloilo City Proper', 'short_name': 'Iloilo City Proper', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Iloilo City', 'short_name': 'Iloilo City', 'types': ['locality', 'political']}, {'long_name': 'Iloilo', 'short_name': 'Iloilo', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Western Visayas', 'short_name': 'Western Visayas', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'Quezon St, Iloilo City Proper, Iloilo City, Iloilo, Philippines', 'geometry': {'location': {'lat': 10.6942777, 'lng': 122.5655542}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 10.6956266802915, 'lng': 122.5669031802915}, 'southwest': {'lat': 10.6929287197085, 'lng': 122.5642052197085}}}, 'partial_match': True, 'place_id': 'ChIJvb-3KWTlrjMRuIL9uw-gaZM', 'plus_code': {'compound_code': 'MHV8+P6 Iloilo City, Iloilo, Philippines', 'global_code': '7Q24MHV8+P6'}, 'types': ['establishment', 'point_of_interest', 'shopping_mall']}",10.6942777,122.5655542,"Quezon St, Iloilo City Proper, Iloilo City, Iloilo, Philippines",Iloilo
Robinsons Place Roxas,"Immaculate Heart of Mary Avenue, Pueblo de Panay, Brgy. Lawa-an, Roxas City",651-0288,http://www.robinsonsmalls.com/image.jsp?id=1239,http://www.robinsonsmalls.com/mall-info/robinsons-place-roxas,www.facebook.com/RobPlaceRoxas,"{'address_components': [{'long_name': 'Roxas City', 'short_name': 'Roxas City', 'types': ['locality', 'political']}, {'long_name': 'Capiz', 'short_name': 'Capiz', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Western Visayas', 'short_name': 'Western Visayas', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'Immaculate Heart of Mary Avenue, Pueblo de Panay, Brgy, Roxas City, Capiz, Philippines', 'geometry': {'location': {'lat': 11.5692721, 'lng': 122.7512499}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 11.5706210802915, 'lng': 122.7525988802915}, 'southwest': {'lat': 11.5679231197085, 'lng': 122.7499009197085}}}, 'partial_match': True, 'place_id': 'ChIJ-chOZzzzpTMRLI3Zm-TF9R4', 'plus_code': {'compound_code': 'HQ92+PF Roxas City, Capiz, Philippines', 'global_code': '7Q34HQ92+PF'}, 'types': ['establishment', 'point_of_interest', 'shopping_mall']}",11.5692721,122.7512499,"Immaculate Heart of Mary Avenue, Pueblo de Panay, Brgy, Roxas City, Capiz, Philippines",Capiz
Robinsons Place Tacloban,"Tabuan National Highway, Marasbaras, Tacloban City",523-3632,http://www.robinsonsmalls.com/image.jsp?id=1241,http://www.robinsonsmalls.com/mall-info/robinsons-place-tacloban,www.facebook.com/RobPlaceTacloban,"{'address_components': [{'long_name': 'Tabuan National Highway', 'short_name': 'Tabuan National Hwy', 'types': ['route']}, {'long_name': 'Marasbaras', 'short_name': 'Marasbaras', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Tacloban City', 'short_name': 'Tacloban City', 'types': ['locality', 'political']}, {'long_name': 'Leyte', 'short_name': 'Leyte', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Eastern Visayas', 'short_name': 'Eastern Visayas', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'Tabuan National Hwy, Marasbaras, Tacloban City, Leyte, Philippines', 'geometry': {'location': {'lat': 11.2074032, 'lng': 125.008057}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 11.2087521802915, 'lng': 125.0094059802915}, 'southwest': {'lat': 11.2060542197085, 'lng': 125.0067080197085}}}, 'place_id': 'ChIJTx0Krw93CDMRFsypS4zHraY', 'plus_code': {'compound_code': '6245+X6 Tacloban City, Leyte, Philippines', 'global_code': '7Q376245+X6'}, 'types': ['establishment', 'point_of_interest', 'shopping_mall']}",11.2074032,125.008057,"Tabuan National Hwy, Marasbaras, Tacloban City, Leyte, Philippines",Leyte
Robinsons Place Jaro,"E. Lopez St., Brgy. San Vicente, Jaro Iloilo City",(033) 320-2640,http://www.robinsonsmalls.com/image.jsp?id=1413,http://www.robinsonsmalls.com/mall-info/robinsons-place-jaro,www.facebook.com/RobinsonsPlaceJaro,"{'address_components': [{'long_name': 'E. Lopez St., Corner M. Jaime St.', 'short_name': 'E. Lopez St., Corner M. Jaime St.', 'types': ['route']}, {'long_name': 'San Vicente, Jaro', 'short_name': 'San Vicente, Jaro', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Iloilo City', 'short_name': 'Iloilo City', 'types': ['locality', 'political']}, {'long_name': 'Iloilo', 'short_name': 'Iloilo', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Western Visayas', 'short_name': 'Western Visayas', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}, {'long_name': '5000', 'short_name': '5000', 'types': ['postal_code']}], 'formatted_address': 'E. Lopez St., Corner M. Jaime St., San Vicente, Jaro, Iloilo City, 5000 Iloilo, Philippines', 'geometry': {'location': {'lat': 10.7208645, 'lng': 122.5582097}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 10.7222134802915, 'lng': 122.5595586802915}, 'southwest': {'lat': 10.7195155197085, 'lng': 122.5568607197085}}}, 'place_id': 'ChIJJ5qhPyLlrjMRKlSGy5BuQ7o', 'plus_code': {'compound_code': 'PHC5+87 Iloilo City, Iloilo, Philippines', 'global_code': '7Q24PHC5+87'}, 'types': ['establishment', 'point_of_interest', 'shopping_mall']}",10.7208645,122.5582097,"E. Lopez St., Corner M. Jaime St., San Vicente, Jaro, Iloilo City, 5000 Iloilo, Philippines",Iloilo
Robinsons Cybergate Bacolod,"Araneta St., Singcang, Bacolod City, Negros Occidental",707-1707,,http://www.robinsonsmalls.com/mall-info/robinsons-cybergate-bacolod,,"{'address_components': [{'long_name': 'Bacolod', 'short_name': 'Bacolod', 'types': ['locality', 'political']}, {'long_name': 'Negros Occidental', 'short_name': 'Negros Occidental', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Western Visayas', 'short_name': 'Western Visayas', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}, {'long_name': '6100', 'short_name': '6100', 'types': ['postal_code']}], 'formatted_address': 'Araneta Avenue, Singcang, Bacolod, 6100 Negros Occidental, Philippines', 'geometry': {'location': {'lat': 10.6441532, 'lng': 122.9341313}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 10.6455021802915, 'lng': 122.9354802802915}, 'southwest': {'lat': 10.6428042197085, 'lng': 122.9327823197085}}}, 'place_id': 'ChIJo08UaC7QrjMRvcNdXgERsfU', 'plus_code': {'compound_code': 'JWVM+MM Bacolod, Negros Occidental, Philippines', 'global_code': '7Q24JWVM+MM'}, 'types': ['establishment', 'point_of_interest']}",10.6441532,122.9341313,"Araneta Avenue, Singcang, Bacolod, 6100 Negros Occidental, Philippines",Negros Occidental
Robinsons Cybergate Cebu,"Don Gil Garcia Street, Capitol Site, Cebu City",505-8966 | 505-8955,,http://www.robinsonsmalls.com/mall-info/robinsons-cybergate-cebu,,"{'address_components': [{'long_name': '5/F', 'short_name': '5/F', 'types': ['street_number']}, {'long_name': 'Don Gil Garcia Street', 'short_name': 'Don Gil Garcia St', 'types': ['route']}, {'long_name': 'Cebu City', 'short_name': 'Cebu City', 'types': ['locality', 'political']}, {'long_name': 'Cebu', 'short_name': 'Cebu', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Central Visayas', 'short_name': 'Central Visayas', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}, {'long_name': '6000', 'short_name': '6000', 'types': ['postal_code']}], 'formatted_address': 'Capitol Site Robinsons Cybergate, 5/F Don Gil Garcia St, Cebu City, 6000 Cebu, Philippines', 'geometry': {'location': {'lat': 10.3103529, 'lng': 123.8919523}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 10.3117018802915, 'lng': 123.8933012802915}, 'southwest': {'lat': 10.3090039197085, 'lng': 123.8906033197085}}}, 'place_id': 'ChIJO4qPiE6ZqTMRjWzmLVTtfnM', 'plus_code': {'compound_code': '8V6R+4Q Cebu City, Cebu, Philippines', 'global_code': '7Q258V6R+4Q'}, 'types': ['establishment', 'point_of_interest']}",10.3103529,123.8919523,"Capitol Site Robinsons Cybergate, 5/F Don Gil Garcia St, Cebu City, 6000 Cebu, Philippines",Cebu
Robinsons Place Butuan,"J.C.Aquino Avenue, Butuan City 8600",(085) 815-7771,http://www.robinsonsmalls.com/image.jsp?id=1219,http://www.robinsonsmalls.com/mall-info/robinsons-place-butuan,www.facebook.com/RobPlaceButuan,"{'address_components': [{'long_name': 'J C Aquino Avenue', 'short_name': 'J C Aquino Ave', 'types': ['route']}, {'long_name': 'Butuan City', 'short_name': 'Butuan City', 'types': ['locality', 'political']}, {'long_name': 'Agusan Del Norte', 'short_name': 'Agusan Del Norte', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Caraga', 'short_name': 'Caraga', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'J C Aquino Ave, Butuan City, Agusan Del Norte, Philippines', 'geometry': {'location': {'lat': 8.9423921, 'lng': 125.5198312}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 8.9437410802915, 'lng': 125.5211801802915}, 'southwest': {'lat': 8.941043119708496, 'lng': 125.5184822197085}}}, 'place_id': 'ChIJwwiNz_jAATMRI6MlLbt6Wuc', 'plus_code': {'compound_code': 'WGR9+XW Butuan City, Agusan Del Norte, Philippines', 'global_code': '6QW7WGR9+XW'}, 'types': ['establishment', 'point_of_interest', 'shopping_mall']}",8.9423921,125.5198312,"J C Aquino Ave, Butuan City, Agusan Del Norte, Philippines",Agusan Del Norte
Robinsons Place Tagum,"National Highway,Tagum City",(084) 218-8520,,http://www.robinsonsmalls.com/mall-info/robinsons-place-tagum,www.facebook.com/RobinsonsPlaceTagum,"{'address_components': [{'long_name': 'Robinsons Place Tagum', 'short_name': 'Robinsons Place Tagum', 'types': ['premise']}, {'long_name': 'National Highway', 'short_name': 'National Highway', 'types': ['route']}, {'long_name': 'Tagum', 'short_name': 'Tagum', 'types': ['locality', 'political']}, {'long_name': 'Davao del Norte', 'short_name': 'Davao del Norte', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Davao Region', 'short_name': 'Davao Region', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'Level 1, Robinsons Place Tagum, National Highway, Tagum, Davao del Norte, Philippines', 'geometry': {'location': {'lat': 7.430195, 'lng': 125.7971509}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 7.431543980291503, 'lng': 125.7984998802915}, 'southwest': {'lat': 7.428846019708498, 'lng': 125.7958019197085}}}, 'place_id': 'ChIJLb5ryLpT-TIRJ44o3bsMe3s', 'plus_code': {'compound_code': 'CQJW+3V Tagum, Davao del Norte, Philippines', 'global_code': '6QV7CQJW+3V'}, 'types': ['establishment', 'food', 'point_of_interest', 'restaurant']}",7.430195,125.7971509,"Level 1, Robinsons Place Tagum, National Highway, Tagum, Davao del Norte, Philippines",Davao del Norte
Robinsons Place Gensan,"J. Catolico Sr. Avenue, Lagao, General Santos City",553-3177,http://www.robinsonsmalls.com/image.jsp?id=1223,http://www.robinsonsmalls.com/mall-info/robinsons-place-gensan,www.facebook.com/RobPlaceGenSan,"{'address_components': [{'long_name': 'Jose Catolico Sr. Avenue', 'short_name': 'Jose Catolico Sr. Ave', 'types': ['route']}, {'long_name': 'General Santos City', 'short_name': 'General Santos City', 'types': ['locality', 'political']}, {'long_name': 'South Cotabato', 'short_name': 'South Cotabato', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Region XII', 'short_name': 'SOCCSKSARGEN', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}, {'long_name': '9500', 'short_name': '9500', 'types': ['postal_code']}], 'formatted_address': 'Jose Catolico Sr. Ave, General Santos City, 9500 South Cotabato, Philippines', 'geometry': {'location': {'lat': 6.1211678, 'lng': 125.1906296}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 6.122516780291503, 'lng': 125.1919785802915}, 'southwest': {'lat': 6.119818819708498, 'lng': 125.1892806197085}}}, 'place_id': 'ChIJe8K8eraf9zIROtcJpzp3J1k', 'plus_code': {'compound_code': '45CR+F7 General Santos City, South Cotabato, Philippines', 'global_code': '6QR745CR+F7'}, 'types': ['establishment', 'point_of_interest', 'shopping_mall']}",6.1211678,125.1906296,"Jose Catolico Sr. Ave, General Santos City, 9500 South Cotabato, Philippines",South Cotabato
Robinsons Cagayan de Oro,"Rosario Crescent cor. Florentino Street, Limketkai Center, Cagayan de Oro City",856-7773 | 856-5551,,http://www.robinsonsmalls.com/mall-info/robinsons-cagayan-de-oro,www.facebook.com/RobCagayanDeOro,"{'address_components': [{'long_name': 'Limketkai Center', 'short_name': 'Limketkai Center', 'types': ['premise']}, {'long_name': 'Rosario Crescent', 'short_name': 'Rosario Cres', 'types': ['route']}, {'long_name': 'Cagayan de Oro', 'short_name': 'CDO', 'types': ['locality', 'political']}, {'long_name': 'Misamis Oriental', 'short_name': 'Misamis Oriental', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Northern Mindanao', 'short_name': 'Northern Mindanao', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}, {'long_name': '9000', 'short_name': '9000', 'types': ['postal_code']}], 'formatted_address': 'Limketkai Center, Rosario Cres, Cagayan de Oro, 9000 Misamis Oriental, Philippines', 'geometry': {'location': {'lat': 8.4819956, 'lng': 124.654688}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 8.4833445802915, 'lng': 124.6560369802915}, 'southwest': {'lat': 8.480646619708496, 'lng': 124.6533390197085}}}, 'place_id': 'ChIJyysfksTy_zIRkSlvDhOjDBo', 'plus_code': {'compound_code': 'FMJ3+QV Cagayan de Oro, Misamis Oriental, Philippines', 'global_code': '6QW6FMJ3+QV'}, 'types': ['establishment', 'point_of_interest', 'shopping_mall']}",8.4819956,124.654688,"Limketkai Center, Rosario Cres, Cagayan de Oro, 9000 Misamis Oriental, Philippines",Misamis Oriental
Robinsons Cybergate Davao,"J.P. Laurel Avenue, Davao City ",(082) 282-1088,,http://www.robinsonsmalls.com/mall-info/robinsons-cybergate-davao,,"{'address_components': [{'long_name': ""Robinson's Cybergate"", 'short_name': ""Robinson's Cybergate"", 'types': ['premise']}, {'long_name': 'J.P. Laurel Avenue', 'short_name': 'J.P. Laurel Ave', 'types': ['route']}, {'long_name': 'Buhangin', 'short_name': 'Buhangin', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Davao City', 'short_name': 'Davao City', 'types': ['locality', 'political']}, {'long_name': 'Davao del Sur', 'short_name': 'Davao del Sur', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Davao Region', 'short_name': 'Davao Region', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': ""Robinson's Cybergate, J.P. Laurel Ave, Buhangin, Davao City, Davao del Sur, Philippines"", 'geometry': {'bounds': {'northeast': {'lat': 7.1000999, 'lng': 125.6244064}, 'southwest': {'lat': 7.0991206, 'lng': 125.6235667}}, 'location': {'lat': 7.0996142, 'lng': 125.6239895}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 7.100959230291503, 'lng': 125.6253355302915}, 'southwest': {'lat': 7.098261269708498, 'lng': 125.6226375697085}}}, 'place_id': 'ChIJW2kV7k5s-TIRLoU2mKxvoNc', 'types': ['premise']}",7.0996142,125.6239895,"Robinson's Cybergate, J.P. Laurel Ave, Buhangin, Davao City, Davao del Sur, Philippines",Davao del Sur
Robinsons Cabanatuan,"KM 111, Barangay H. Concepcion, Maharlika Hi-way Cabanatuan City",(044)600-5853 | (044)600-0858,,http://www.robinsonsmalls.com/mall-info/robinsons-cabanatuan,,"{'address_components': [{'long_name': 'Pan-Philippine Highway', 'short_name': 'Pan-Philippine Hwy', 'types': ['route']}, {'long_name': 'Cabanatuan City', 'short_name': 'Cabanatuan City', 'types': ['locality', 'political']}, {'long_name': 'Nueva Ecija', 'short_name': 'Nueva Ecija', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Central Luzon', 'short_name': 'Central Luzon', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}, {'long_name': '3100', 'short_name': '3100', 'types': ['postal_code']}], 'formatted_address': 'KM 111, Brgy. H. Concepcion, Pan-Philippine Hwy, Cabanatuan City, 3100 Nueva Ecija, Philippines', 'geometry': {'location': {'lat': 15.4601249, 'lng': 120.950156}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 15.4614738802915, 'lng': 120.9515049802915}, 'southwest': {'lat': 15.4587759197085, 'lng': 120.9488070197085}}}, 'place_id': 'ChIJ87oG-Y4olzMRPaef2Nth3Xc', 'plus_code': {'compound_code': 'FX62+23 Cabanatuan City, Nueva Ecija, Philippines', 'global_code': '7Q72FX62+23'}, 'types': ['establishment', 'food', 'grocery_or_supermarket', 'point_of_interest', 'shopping_mall', 'store', 'supermarket']}",15.4601249,120.950156,"KM 111, Brgy. H. Concepcion, Pan-Philippine Hwy, Cabanatuan City, 3100 Nueva Ecija, Philippines",Nueva Ecija
Robinsons Place Iligan,"Macapagal Ave, Iligan City, Lanao del Norte",397-1888 local 31699 or 31811,,http://www.robinsonsmalls.com/mall-info/robinsons-place-iligan,www.facebook.com/RobPlaceIligan/,"{'address_components': [{'long_name': 'Macapagal Avenue', 'short_name': 'Macapagal Ave', 'types': ['route']}, {'long_name': 'Iligan City', 'short_name': 'Iligan City', 'types': ['locality', 'political']}, {'long_name': 'Lanao del Norte', 'short_name': 'Lanao del Norte', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Northern Mindanao', 'short_name': 'Northern Mindanao', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'Macapagal Ave, Iligan City, Lanao del Norte, Philippines', 'geometry': {'location': {'lat': 8.2187635, 'lng': 124.2393664}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 8.220112480291503, 'lng': 124.2407153802915}, 'southwest': {'lat': 8.217414519708498, 'lng': 124.2380174197085}}}, 'place_id': 'ChIJWzgbqP11VTIRO7jhQ_COAas', 'plus_code': {'compound_code': '669Q+GP Iligan City, Lanao del Norte, Philippines', 'global_code': '6QW6669Q+GP'}, 'types': ['establishment', 'point_of_interest', 'shopping_mall']}",8.2187635,124.2393664,"Macapagal Ave, Iligan City, Lanao del Norte, Philippines",Lanao del Norte
Robinsons Place Naga,"Roxas Avenue cor. Almeda Highway, Brgy. Triangulo, Naga City",(054) 881-2545,,http://www.robinsonsmalls.com/mall-info/robinsons-place-naga,www.facebook.com/RobPlaceNaga/,"{'address_components': [{'long_name': 'Corner', 'short_name': 'Corner', 'types': ['street_number']}, {'long_name': 'Almeda Highway', 'short_name': 'Almeda Hwy', 'types': ['route']}, {'long_name': 'Brgy. Triangulo', 'short_name': 'Brgy. Triangulo', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Naga', 'short_name': 'Naga', 'types': ['locality', 'political']}, {'long_name': 'Camarines Sur', 'short_name': 'Camarines Sur', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Bicol', 'short_name': 'Bicol', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': '2nd Level, Robinsons Place Naga Roxas Avenue, Corner Almeda Hwy, Brgy. Triangulo, Naga, Camarines Sur, Philippines', 'geometry': {'location': {'lat': 13.6146025, 'lng': 123.1931305}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 13.6159514802915, 'lng': 123.1944794802915}, 'southwest': {'lat': 13.6132535197085, 'lng': 123.1917815197085}}}, 'place_id': 'ChIJwYElMceMoTMRfifOXZIZm9s', 'plus_code': {'compound_code': 'J57V+R7 Naga, Camarines Sur, Philippines', 'global_code': '7Q55J57V+R7'}, 'types': ['establishment', 'point_of_interest', 'shopping_mall', 'store']}",13.6146025,123.1931305,"2nd Level, Robinsons Place Naga Roxas Avenue, Corner Almeda Hwy, Brgy. Triangulo, Naga, Camarines Sur, Philippines",Camarines Sur
Robinsons Place Ormoc,"Brgy. Cogon, Ormoc City, Leyte ","Address   Brgy. Cogon, Ormoc City, Leyte 
  397-1888 local 31180
Facebook  https//www.facebook.com/RobPlaceOrmoc/",,http://www.robinsonsmalls.com/mall-info/robinsons-place-ormoc,https//www.facebook.com/RobPlaceOrmoc/,"{'address_components': [{'long_name': 'Palo - Carigara - Ormoc City Road', 'short_name': 'Palo - Carigara - Ormoc City Rd', 'types': ['route']}, {'long_name': 'Ormoc', 'short_name': 'Ormoc', 'types': ['locality', 'political']}, {'long_name': 'Leyte', 'short_name': 'Leyte', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Eastern Visayas', 'short_name': 'Eastern Visayas', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}], 'formatted_address': 'Palo - Carigara - Ormoc City Rd, Ormoc, Leyte, Philippines', 'geometry': {'location': {'lat': 11.0253037, 'lng': 124.6051117}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 11.0266526802915, 'lng': 124.6064606802915}, 'southwest': {'lat': 11.0239547197085, 'lng': 124.6037627197085}}}, 'place_id': 'ChIJneXOxNbwBzMR4IDWLiAxNDk', 'plus_code': {'compound_code': '2JG4+42 Ormoc, Leyte, Philippines', 'global_code': '7Q362JG4+42'}, 'types': ['establishment', 'point_of_interest', 'shopping_mall']}",11.0253037,124.6051117,"Palo - Carigara - Ormoc City Rd, Ormoc, Leyte, Philippines",Leyte
Robinsons North Tacloban,"Tacloban City, Leyte",397 1888 loc. 31180,,http://www.robinsonsmalls.com/mall-info/robinsons-north-tacloban,www.facebook.com/RobinsonsNorthTacloban/,"{'address_components': [{'long_name': 'Tacloban City', 'short_name': 'Tacloban City', 'types': ['locality', 'political']}, {'long_name': 'Leyte', 'short_name': 'Leyte', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Eastern Visayas', 'short_name': 'Eastern Visayas', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Philippines', 'short_name': 'PH', 'types': ['country', 'political']}, {'long_name': '6500', 'short_name': '6500', 'types': ['postal_code']}], 'formatted_address': 'Tacloban City, 6500 Leyte, Philippines', 'geometry': {'location': {'lat': 11.2400764, 'lng': 124.9869437}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 11.2414253802915, 'lng': 124.9882926802915}, 'southwest': {'lat': 11.2387274197085, 'lng': 124.9855947197085}}}, 'place_id': 'ChIJO-KZH9N2CDMRlcB0SLnEpHg', 'plus_code': {'compound_code': '6XRP+2Q Tacloban City, Leyte, Philippines', 'global_code': '7Q366XRP+2Q'}, 'types': ['establishment', 'food', 'grocery_or_supermarket', 'point_of_interest', 'shopping_mall', 'store']}",11.2400764,124.9869437,"Tacloban City, 6500 Leyte, Philippines",Leyte
